itemid,hotelid,hotelname,features
678,1294209,Haus Diana,ptype=hotels|star=3|amen=additional bathroom|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=carpeting|amen=closet|amen=clothes dryer|amen=clothes rack|amen=daily newspaper|amen=desk|amen=fire extinguisher|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mirror|amen=private entrance|amen=seating area|amen=sofa|amen=toiletries|amen=towels|amen=tv|amen=washing machine
679,1294209,Haus Diana,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=carpeting|amen=closet|amen=clothes dryer|amen=clothes rack|amen=daily newspaper|amen=desk|amen=fire extinguisher|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mirror|amen=private entrance|amen=satellitecable channels|amen=seating area|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=washing machine
680,1294209,Haus Diana,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=carpeting|amen=closet|amen=clothes dryer|amen=clothes rack|amen=daily newspaper|amen=desk|amen=fire extinguisher|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mirror|amen=private entrance|amen=satellitecable channels|amen=seating area|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=washing machine
681,1294209,Haus Diana,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=closet|amen=clothes dryer|amen=clothes rack|amen=daily newspaper|amen=desk|amen=fire extinguisher|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mirror|amen=private entrance|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=toiletries|amen=towels|amen=washing machine
682,1716832,Thalinger Hof,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=seating area
683,1716832,Thalinger Hof,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=seating area
684,1716832,Thalinger Hof,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=seating area
685,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=cleaning products|amen=closet|amen=clothes dryer|amen=coffeetea maker|amen=complimentary tea|amen=daily newspaper|amen=desk|amen=dvdcd player|amen=electric blanket|amen=fire extinguisher|amen=free instant coffee|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high floor|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=laptop safe box|amen=laptop workspace|amen=linens|amen=mini bar|amen=mirror|amen=open air bath privileges|amen=pets allowed in room|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=shoeshine kit|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=wake-up service|amen=washing machine|amen=woodenparqueted flooring
686,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=cleaning products|amen=closet|amen=clothes dryer|amen=coffeetea maker|amen=complimentary tea|amen=daily newspaper|amen=desk|amen=dvdcd player|amen=fire extinguisher|amen=free instant coffee|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=high floor|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=kitchenware|amen=laptop safe box|amen=laptop workspace|amen=linens|amen=microwave|amen=mini bar|amen=mirror|amen=open air bath privileges|amen=pets allowed in room|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=shoeshine kit|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=wake-up service|amen=washing machine|amen=woodenparqueted flooring
687,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=cleaning products|amen=closet|amen=clothes dryer|amen=coffeetea maker|amen=complimentary tea|amen=daily newspaper|amen=desk|amen=dvdcd player|amen=fire extinguisher|amen=free instant coffee|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=high floor|amen=in-room safe box|amen=ironing facilities|amen=kitchenware|amen=laptop workspace|amen=microwave|amen=mini bar|amen=mirror|amen=pets allowed in room|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=separate living room|amen=shoeshine kit|amen=slippers|amen=sofa|amen=toiletries|amen=towels|amen=wake-up service|amen=washing machine|amen=woodenparqueted flooring
688,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=cleaning products|amen=closet|amen=clothes dryer|amen=coffeetea maker|amen=complimentary tea|amen=daily newspaper|amen=desk|amen=dvdcd player|amen=fire extinguisher|amen=free instant coffee|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=high floor|amen=in-room safe box|amen=ironing facilities|amen=kitchenware|amen=laptop workspace|amen=microwave|amen=mini bar|amen=mirror|amen=pets allowed in room|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=separate living room|amen=slippers|amen=sofa|amen=toiletries|amen=towels|amen=wake-up service|amen=washing machine|amen=woodenparqueted flooring
689,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=coffeetea maker|amen=daily newspaper|amen=desk|amen=dvdcd player|amen=electric blanket|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=laptop safe box|amen=laptop workspace|amen=linens|amen=locker|amen=mini bar|amen=mirror|amen=pets allowed in room|amen=private entrance|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=shoeshine kit|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=wake-up service|amen=washing machine|amen=woodenparqueted flooring
