itemid,hotelid,hotelname,features
209,129814,Sport- und Wellnesshotel Held,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
210,129814,Sport- und Wellnesshotel Held,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
211,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=blackout curtains|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=whirlpool bathtub|amen=woodenparqueted flooring
212,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=kitchenware|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
213,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=whirlpool bathtub|amen=woodenparqueted flooring
214,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
215,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=kitchenware|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
216,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
217,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
218,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=daily housekeeping|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=kitchenware|amen=linens|amen=refrigerator|amen=satellitecable channels|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
219,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
220,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
221,129841,Alp Art Hotel,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
222,129905,Pedros,ptype=hotels|star=4|amen=additional bathroom|amen=additional toilet|amen=air conditioning|amen=carpeting|amen=cleaning products|amen=closet|amen=desk|amen=dressing room|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=wake-up service
223,129905,Pedros,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries
224,129963,Hotel Gasthof Adler,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=closet|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels
225,129963,Hotel Gasthof Adler,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=closet|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=towels
226,129963,Hotel Gasthof Adler,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=closet|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=towels
227,129963,Hotel Gasthof Adler,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=extra long bed|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
228,129963,Hotel Gasthof Adler,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
229,129974,Donau-Rad-Hotel Wachauerhof,ptype=hotels|star=4|amen=air conditioning|amen=carpeting|amen=closet|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
230,129974,Donau-Rad-Hotel Wachauerhof,ptype=hotels|star=4|amen=air conditioning|amen=carpeting|amen=closet|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
231,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
232,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
233,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
234,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
235,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
236,130051,Baerenwirth Hotel,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
237,130055,Superior Alpine Wellnesshotel Karwendel,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=hair dryer|amen=heating|amen=in-room safe box|amen=seating area|amen=sofa|amen=telephone|amen=tv [flat screen]
238,130055,Superior Alpine Wellnesshotel Karwendel,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=heating|amen=in-room safe box|amen=telephone|amen=tv [flat screen]
239,130055,Superior Alpine Wellnesshotel Karwendel,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=heating|amen=in-room safe box|amen=seating area|amen=sofa|amen=telephone|amen=tv [flat screen]
240,130055,Superior Alpine Wellnesshotel Karwendel,ptype=hotels|star=4|amen=air conditioning|amen=in-room safe box|amen=telephone|amen=tv
241,130077,Hotel Wiental,ptype=hotels|star=4|amen=air conditioning|amen=carpeting|amen=closet|amen=clothes rack|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=telephone|amen=towels|amen=wake-up service
242,130077,Hotel Wiental,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=telephone|amen=towels|amen=wake-up service
243,130092,Hotel Marienhof,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
244,130092,Hotel Marienhof,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mirror|amen=satellitecable channels|amen=slippers|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
245,130092,Hotel Marienhof,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mirror|amen=satellitecable channels|amen=slippers|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
246,130092,Hotel Marienhof,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mirror|amen=satellitecable channels|amen=slippers|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
247,130133,Attergauhof,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
248,130133,Attergauhof,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
249,130133,Attergauhof,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
250,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=sofa|amen=tv
251,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=sofa|amen=tv
252,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
253,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
254,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
255,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
256,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
257,130251,Hotel Mondschein & Chalet Mondschein,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
258,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=soundproofing|amen=telephone
259,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=soundproofing|amen=telephone
260,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=soundproofing|amen=telephone
261,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=soundproofing|amen=telephone
262,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=soundproofing|amen=telephone
263,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
264,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
265,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
266,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
267,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
268,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
269,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
270,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
271,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
272,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
273,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
274,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
275,151314,Best Western Plus Plaza Hotel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
276,151476,Alpen-Karawanserai,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=mini bar|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
277,151476,Alpen-Karawanserai,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=slippers|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
278,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
279,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
280,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
281,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
282,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
283,151797,Boutique Hotel Traumerei #8 by Auracher Lochl,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
284,159313,Activehotel Bergkoenig,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=desk|amen=fireplace|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
285,159313,Activehotel Bergkoenig,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=mini bar|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=slippers|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
286,159313,Activehotel Bergkoenig,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=mini bar|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=slippers|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
287,159313,Activehotel Bergkoenig,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=mini bar|amen=mirror|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
288,162762,JUFA Hotel Graz,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=towels|amen=tv [flat screen]
289,162762,JUFA Hotel Graz,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=towels|amen=tv [flat screen]
290,162762,JUFA Hotel Graz,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=towels|amen=tv [flat screen]
291,162762,JUFA Hotel Graz,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=towels|amen=tv [flat screen]
292,162762,JUFA Hotel Graz,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=towels|amen=tv [flat screen]
293,162962,Sporthotel Reisch,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
294,162962,Sporthotel Reisch,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
295,162962,Sporthotel Reisch,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
296,164961,Hotel Haymon,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
297,164961,Hotel Haymon,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
298,164961,Hotel Haymon,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
299,164961,Hotel Haymon,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
300,166064,Romantik Hotel Im Weissen Rossl,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=coffeetea maker|amen=daily newspaper|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
301,166064,Romantik Hotel Im Weissen Rossl,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=coffeetea maker|amen=daily newspaper|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels
